,100g-500g,,200g-500g,,100g-1kg,,200g-1kg,,200g-500g(new),,true_2point,,true_allpoint,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha
P1,5352.840039,-0.457987749,4106.343765,-0.292198522,5348.297849,-0.363239792,4595.592874,-0.297009771,4881.941194,-0.384276659,3238.680485,-0.262286797,3413.830458,-0.289888138
P2,7413.052812,-0.413456491,7057.567417,-0.382723273,7406.319621,-0.312036003,5572.551365,-0.187819979,5940.12707,-0.280042303,4820.229692,-0.199832581,5460.385076,-0.26583625
P3,2049.561381,-0.206785492,2411.428805,-0.308471114,2051.494675,-0.312014828,1826.864084,-0.261378504,1863.590142,-0.290114539,1816.663011,-0.305736687,1820.171262,-0.306791888
P4,3123.477174,-0.283670434,3351.457222,-0.327728665,3122.313471,-0.2420804,3123.163128,-0.242199205,3383.918845,-0.35796978,2562.244129,-0.217175395,2666.383373,-0.237635927
P5,5736.765206,-0.408005061,6644.197087,-0.499843633,5737.084029,-0.414207677,4758.685324,-0.332564626,5127.293827,-0.440276863,3713.891243,-0.347366018,4156.080761,-0.409093712
P6,2708.006849,-0.425005456,2378.689717,-0.343914506,2705.539911,-0.323284395,2152.664655,-0.223470335,2253.997133,-0.28988034,2018.535798,-0.258404908,2096.385972,-0.277513794
P7,8013.151707,-0.568003416,9826.697418,-0.695596201,8006.537001,-0.475833117,5892.373268,-0.341959086,6598.633871,-0.505395557,5865.867842,-0.380843152,6067.796647,-0.400751237
P8,4336.435956,-0.412458998,3671.704146,-0.308394817,4335.507259,-0.388553821,3259.440165,-0.263987378,3270.599748,-0.268921962,3391.275606,-0.295909459,3548.406027,-0.318738298
P9,3768.274867,-0.292062251,3350.361989,-0.218547478,3767.903022,-0.281048233,3224.654571,-0.213066317,3004.606027,-0.111023898,2733.736283,-0.165917472,2885.022373,-0.193774391
P10,4166.522802,-0.64577887,3675.74225,-0.567399858,4162.434236,-0.53620302,2894.202447,-0.377531691,3004.435184,-0.431498587,2120.73818,-0.265939616,2509.971662,-0.356048975
P11,2777.33157,-0.31860622,5146.489638,-0.704366471,2776.585916,-0.288637195,2573.556352,-0.255481551,2852.332651,-0.403967559,2323.159,-0.277034243,2537.500934,-0.323289288
P12,6571.417956,-0.445032684,7562.281644,-0.532865562,6566.087896,-0.354469074,5171.867417,-0.250249591,5550.555573,-0.352270093,4250.581759,-0.233770174,4680.576233,-0.282069416
P13,5033.56258,-0.376155372,4434.537295,-0.296914577,5030.110189,-0.299578448,3975.691486,-0.196861527,3827.665436,-0.142080928,3062.286319,-0.164493839,3334.529751,-0.208051114
P14,5449.472188,-0.498616064,6541.089807,-0.612804257,5449.321007,-0.495519707,3442.623472,-0.294988998,3517.203629,-0.325931788,3019.885128,-0.289132684,3243.009132,-0.329106837
P15,3970.946127,-0.42305093,4587.291307,-0.513286595,3969.650266,-0.386622545,3130.834195,-0.282973258,2953.506117,-0.198794013,2742.161277,-0.264198606,2962.251902,-0.303040301
P16,3254.169261,-0.222322551,3762.236045,-0.313052977,3253.922559,-0.213860923,3022.9588,-0.181713146,3087.597763,-0.212258686,2713.751895,-0.145923014,2833.764081,-0.168350291
P17,4985.017139,-0.486479912,3741.048442,-0.306946511,4983.396404,-0.450187103,3258.184975,-0.2646401,3371.659136,-0.314065943,3406.056517,-0.340184834,3438.505021,-0.346862424
P18,3312.819747,-0.420521495,2798.246981,-0.314950314,3311.148151,-0.364190469,2212.194214,-0.18808857,2118.436089,-0.125565013,2265.652229,-0.234115687,2396.780193,-0.264312554
P19,6931.558044,-0.476569824,8172.465911,-0.579564057,6926.78916,-0.399755916,5291.830841,-0.282198034,4898.21841,-0.170607678,4489.775246,-0.258865437,4591.371063,-0.271572074
P20,5394.883658,-0.432938992,6922.787067,-0.588892707,5394.522724,-0.425471673,4809.98656,-0.37539334,4768.854044,-0.362994159,4456.659213,-0.337299408,4756.366678,-0.374015668
P21,3430.722285,-0.274876853,3024.418077,-0.196044195,3427.772626,-0.178875458,3091.946119,-0.133853378,3291.658793,-0.224218197,3012.725285,-0.187515052,3270.396463,-0.230494814
P22,3532.282212,-0.401637564,3110.639575,-0.322139665,3529.975942,-0.328742012,2759.706434,-0.221255418,2836.895491,-0.261082351,2347.803401,-0.186120029,2745.557878,-0.267498846
P23,4442.434328,-0.357869955,3837.542624,-0.266330373,4442.119109,-0.349950203,4001.229277,-0.304308118,4088.869607,-0.335589445,3269.893268,-0.269262199,3482.512843,-0.301990982
P24,4185.371511,-0.383420763,3316.728837,-0.237943045,4183.541772,-0.33461687,3128.407795,-0.207714023,3297.87367,-0.283876529,2846.099004,-0.273326987,3141.761624,-0.325448676
P25,5319.085256,-0.405701622,4999.61428,-0.366964149,5314.863502,-0.317081379,4910.773756,-0.282553605,5198.600406,-0.364785846,3722.008262,-0.216687772,4030.974769,-0.259578966
