,FUJI Film,,Weights,
Sensor,k,alpha,k,alpha
P1,4416.452155,-0.312558509,4106.343765,-0.292198522
P2,7123.003434,-0.345734381,7057.567417,-0.382723273
P3,2923.162413,-0.461247458,2411.428805,-0.308471114
P4,3177.45896,-0.248787024,3351.457222,-0.327728665
P5,5985.060501,-0.346262412,6644.197087,-0.499843633
P6,3457.658533,-0.524127307,2378.689717,-0.343914506
P7,15051.08232,-0.777433303,9826.697418,-0.695596201
P8,4016.940965,-0.34467756,3671.704146,-0.308394817
P9,3254.102167,-0.175072622,3350.361989,-0.218547478
P10,3448.32382,-0.4148253,3675.74225,-0.567399858
P11,4948.823186,-0.642730261,5146.489638,-0.704366471
P12,8065.67568,-0.492395035,7562.281644,-0.532865562
P13,4627.36119,-0.312838983,4434.537295,-0.296914577
P14,6235.389183,-0.539429224,6541.089807,-0.612804257
P15,4772.329578,-0.497919003,4587.291307,-0.513286595
P16,4042.007973,-0.363684157,3762.236045,-0.313052977
P17,3738.641596,-0.303611928,3741.048442,-0.306946511
P18,3007.64081,-0.365888358,2798.246981,-0.314950314
P19,7810.77434,-0.51016909,8172.465911,-0.579564057
P20,6290.370737,-0.447043179,6922.787067,-0.588892707
P21,2991.62887,-0.178889175,3024.418077,-0.196044195
P22,3299.838781,-0.355631937,3110.639575,-0.322139665
P23,3765.312749,-0.208548386,3837.542624,-0.266330373
P24,3180.999066,-0.176222236,3316.728837,-0.237943045
P25,4790.030841,-0.302739163,4999.61428,-0.366964149
