,"500-1kg, 0925",,true_2point_0926,,true_2point_0912,,"500-1kg, 1014",
Sensor,k,alpha,k,alpha,k,alpha,k,alpha
P1,5055.643269,-0.150585926,7347.344719,-0.208830556,14515.24313,-0.466435263,4688.310487,-0.165070781
P2,19276.36883,-0.577629338,33315.64264,-0.73984869,66545.93029,-1.086180769,8290.491099,-0.237173265
P3,29153.01883,-0.794366722,46318.11085,-0.965852044,124621.7187,-1.394395309,11870.9422,-0.418056493
P4,5526.494113,-0.306600705,7248.923942,-0.388386505,11099.11414,-0.431045818,4498.587033,-0.231063495
P5,5646.729343,-0.205909261,7060.397097,-0.303759299,9927.294995,-0.364833897,4591.896329,-0.133190173
P6,9844.047569,-0.232238228,18753.19482,-0.489479802,21321.80427,-0.477135428,10326.87161,-0.223543472
P7,7392.312437,-0.269351323,8510.040094,-0.295377548,17473.93837,-0.444398872,5463.805291,-0.170830032
P8,5191.173358,-0.099120786,7629.535313,-0.261759368,11469.40932,-0.267301403,5801.075007,-0.1549987
P9,3820.877762,-0.139843195,5606.758132,-0.318409349,6118.500114,-0.317909805,5148.458265,-0.300104027
P10,6417.605171,-0.134876186,8967.710376,-0.296116154,11950.47081,-0.364255648,6844.296185,-0.183741986
P11,8151.104137,-0.27935312,9773.155548,-0.368745536,16484.72068,-0.43478199,10158.51592,-0.325710716
P12,5373.712728,-0.19846545,10787.70949,-0.335743572,10558.15562,-0.44449627,4799.742411,-0.082665118
P13,8352.619261,-0.233208261,9770.169306,-0.274853522,13163.80174,-0.375185459,7036.209684,-0.156935979
P14,8157.693372,-0.219916332,11157.7971,-0.357255765,17357.33122,-0.52167784,9049.792806,-0.291309537
P15,11277.84242,-0.52127275,12505.93566,-0.541421538,11234.58302,-0.50586448,5034.548097,-0.043661841
P16,12137.21558,-0.491196456,11295.21751,-0.461824239,10009.5854,-0.356790752,7879.719812,-0.244960941
P17,39508.52503,-0.936519838,51117.40061,-1.040045181,49203.20964,-0.955377516,23267.5798,-0.691290983
P18,7877.594491,-0.422504977,9963.537199,-0.547819527,20440.09295,-0.757234677,5513.665054,-0.28452668
P19,33297.15706,-0.730264275,29560.15485,-0.655140672,43729.91721,-0.824523201,32560.0201,-0.733045174
P20,24029.95091,-0.629453624,16536.86266,-0.484753749,14334.97636,-0.471009626,21994.19358,-0.586561754
P21,4789.578769,-0.175506697,6311.363748,-0.319483112,6787.944225,-0.25073018,4523.960792,-0.205099419
P22,23768.40845,-0.664853983,21518.82922,-0.549477633,21883.26248,-0.47142072,21367.07558,-0.63367982
P23,12352.56981,-0.167382065,16258.71056,-0.281702307,28459.66398,-0.343954663,13882.13799,-0.260376409
P24,98545.84331,-1.12607365,47138.30729,-0.804189864,89906.79561,-1.041337338,39657.40515,-0.803291362
P25,18308.22521,-0.613344961,26143.79556,-0.706433146,42152.08,-0.878798805,10279.55509,-0.397894788
P26,12892.40527,-0.456902048,17472.27977,-0.525161057,15426.20926,-0.414749434,18984.93417,-0.597291492
P27,17363.12511,-0.352904969,27982.08004,-0.438445698,23321.01114,-0.310528046,32547.2241,-0.601746449
P28,11863.82979,-0.165596775,11399.44321,-0.14481504,12653.82797,-0.090631481,12979.03063,-0.208113983
P29,4795.723031,-0.072410601,6783.97023,-0.192561682,7977.817348,-0.168199325,4707.465212,-0.083116786
P30,17920.71477,-0.351479728,23731.15025,-0.402601738,30265.22528,-0.438083278,45423.65929,-0.683001811
P31,5609.206831,-0.021611599,6842.988967,-0.120308589,9070.438259,-0.146501239,8780.86088,-0.193429661
P32,46180.15672,-0.498023207,88966.51962,-0.732076834,239710.8369,-1.022333722,230644.9548,-1.046393551
P33,21424.19737,-0.233611028,32801.40852,-0.412557811,74410.23164,0.115705405,43045.60955,-0.406525743
P34,14041.20828,-0.303572487,16488.66683,-0.289955368,34279.90418,-0.379035057,19993.40471,-0.358224915
P35,10673.76762,-0.311530326,13645.23751,-0.421692763,18929.44853,-0.47115488,14571.45958,-0.401350537
