,500-1kg 1 time,,500-1kg 3 times,,true_allpoints,,true_2points,,500-1kg 1014,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha
P1,7241.065964,-0.330171576,5669.493298,-0.227223918,6790.576561,-0.27712972,6604.327025,-0.262628798,3795.91196,-0.082424413
P2,30165.49318,-0.866767474,22596.38488,-0.723421846,20171.67238,-0.613993397,21439.35751,-0.645495399,10583.51657,-0.423658779
P3,5901.533595,-0.092089284,7642.647135,-0.209043632,50096.64692,-1.078512751,40881.37315,-0.957868289,6162.474707,-0.115970195
P4,3348.251033,-0.156900372,3185.56524,-0.131750427,5464.053725,-0.369141685,5057.758143,-0.326507054,3545.133664,-0.220617034
P5,4279.244487,-0.341140678,3666.977046,-0.266659347,5112.833157,-0.411038211,4944.442599,-0.391459162,2711.386754,-0.173150134
P6,7833.27195,-0.204001318,8461.576082,-0.224397131,17932.72763,-0.598451805,14618.85938,-0.485004031,8415.119044,-0.265454252
P7,6746.370262,-0.403417189,5212.987559,-0.265979735,5994.296422,-0.318016116,5830.449059,-0.308955321,4834.697087,-0.297682676
P8,6754.644875,-0.185678357,6102.97222,-0.14006426,8111.955202,-0.296211179,6570.030634,-0.189206731,6304.965481,-0.204794414
P9,5135.919874,-0.429940813,4024.029445,-0.307205686,7088.159542,-0.65134265,4394.621919,-0.3882809,3391.014072,-0.246206955
P10,15861.81204,-0.650893794,9220.097209,-0.402314575,9475.797317,-0.469516685,9207.866339,-0.453867541,5197.333417,-0.19375806
P11,7970.198027,-0.273022176,7181.638261,-0.221765806,9229.517681,-0.311768843,8945.880877,-0.294042066,5381.228137,-0.215441704
P12,5273.827283,-0.27024813,5302.351132,-0.27095319,9903.759457,-0.531078805,8407.873019,-0.442168661,5087.672887,-0.293397339
P13,12940.32446,-0.469431018,15373.94893,-0.539657801,41564.46801,-0.928818207,41468.64353,-0.918122597,17672.84341,-0.574294855
P14,7924.639931,-0.27213762,7012.473493,-0.216895346,10549.58163,-0.38753487,10792.43372,-0.399417142,5661.28789,-0.14110834
P15,5538.172121,-0.253664224,6605.32464,-0.321692203,12316.53792,-0.574623867,12336.05988,-0.577963663,9279.568228,-0.463480719
P16,6753.442405,-0.161291786,6793.394445,-0.161736788,12110.23565,-0.427709491,11408.10177,-0.393528312,6229.327031,-0.153083759
P17,10347.45976,-0.487779729,8599.037888,-0.399430674,42390.68495,-0.831099861,46954.18118,-0.879879206,7659.525696,-0.344482591
P18,24921.55249,-0.662747494,24793.5524,-0.648779149,41191.28255,-0.746401517,40804.4875,-0.74306577,27101.94181,-0.703633857
P19,17816.4401,-0.495557839,12988.0029,-0.347919632,57505.18105,-1.063274697,68499.85052,-1.175091685,24744.76142,-0.611779848
P20,6070.013165,-0.288063922,7553.088793,-0.37878223,10739.03989,-0.521260358,10022.86925,-0.483081638,4417.693335,-0.204705463
P21,5849.196614,-0.274736852,5049.506989,-0.183282085,11204.65998,-0.535319772,10511.7661,-0.499129927,5848.020277,-0.275384756
P22,5474.396381,-0.32213023,4738.459581,-0.235922716,10243.99443,-0.553435229,9434.30766,-0.50958134,7436.076334,-0.48644252
P23,8079.585872,-0.18984954,8514.529121,-0.209324335,18149.79973,-0.551078038,16302.16561,-0.49174326,12442.53429,-0.352653523
P24,35786.17906,-0.805995822,48384.60292,-0.92437683,46626.09789,-1.034652684,45127.35021,-1.019605067,56313.60208,-1.038384937
P25,10635.00813,-0.246486227,10384.18437,-0.221984377,14885.99382,-0.515410453,13639.41574,-0.46625737,7908.974671,-0.164475587
P26,4504.90627,-0.198668531,4894.361166,-0.218737644,7161.296161,-0.363322762,6977.678024,-0.351270847,3878.813544,-0.186777925
P27,11325.4432,-0.170584478,11294.66287,-0.172807486,22716.45665,-0.461410108,17642.7387,-0.333016011,10122.13956,-0.158432444
P28,3029.482535,0.108547362,3415.86708,0.055959729,4886.911479,-0.123891855,4662.385797,-0.098458851,4612.635722,-0.126499495
P29,6863.070867,-0.293517899,6806.490982,-0.290633139,4774.906963,-0.365212971,4428.539387,-0.328171758,7954.514763,-0.356454111
P30,6201.757603,-0.321223915,5345.584211,-0.258449639,8887.039782,-0.637675991,8353.946497,-0.60196898,4866.245477,-0.338096146
P31,6036.310093,-0.332214323,6555.185297,-0.368054718,8452.077155,-0.449974534,8028.145375,-0.422542013,3682.26024,-0.130451741
P32,6527.081895,-0.075018973,7177.586919,-0.119749214,12062.38045,-0.379431032,8503.9466,-0.197806502,6112.451659,-0.083598529
P33,8199.282614,-0.285837648,8872.639372,-0.321807633,14591.46845,-0.556303803,12664.69906,-0.477678013,8317.762808,-0.375029167
P34,9971.398089,-0.280525476,10069.57178,-0.295182799,14746.2925,-0.516883602,14365.82484,-0.503924497,15024.80432,-0.406681602
P35,5245.684613,-0.292657447,4812.216824,-0.263458806,5929.537635,-0.379559906,5722.511902,-0.362891652,4430.574811,-0.229385594
