Pressure,Resistance
,
0.3493877551020408,45764.04924999035
0.5487755102040817,28435.68043846454
0.7481632653061224,23757.594526846733
0.9475510204081633,18756.003367230518
1.146938775510204,12761.56835988046
1.3463265306122445,10356.453797530468
1.5457142857142856,9228.99008992886
1.7451020408163265,8212.774302449781
1.9444897959183673,7394.829740006487
2.1438775510204082,6830.360753598793
2.343265306122449,6426.351494932536
2.5426530612244895,6083.731299158593
2.7420408163265306,5776.43696817469
2.9414285714285717,5502.375179827922
3.140816326530613,5259.933369014124
3.340204081632653,5074.257792759966
3.5395918367346937,4917.566858574798
3.738979591836735,4782.586548007116
3.9383673469387754,4631.581497773947
4.137755102040817,4450.981458441533
4.337142857142857,4275.466534424431
4.536530612244898,4151.5735087580915
4.735918367346939,4046.1668130515463
4.93530612244898,3964.5217573066598
5.134693877551021,3898.5894173076144
5.334081632653063,3838.26006803647
5.533469387755102,3775.2343108584187
5.732857142857143,3714.425723293407
5.932244897959184,3658.43615015644
6.131632653061225,3604.699691142287
6.3310204081632655,3550.6112350522467
6.530408163265307,3497.3836621594514
6.729795918367348,3445.252512153677
6.929183673469388,3401.3632131849627
7.128571428571429,3368.630134638783
7.32795918367347,3332.68018259802
7.527346938775511,3296.814198747939
7.7267346938775505,3264.026569896836
7.926122448979593,3238.790509370096
8.125510204081634,3214.0747868819963
8.324897959183675,3188.8189575551096
8.524285714285714,3165.7210549040865
8.723673469387755,3145.4542074910496
8.923061224489796,3126.8531754079054
9.122448979591837,3107.8040856588773
9.321836734693878,3089.600615624136
9.52122448979592,3071.9353959937976
9.720612244897959,3054.2701763634595
9.92,3036.604956733121
