,200g-500g,,200g-1kg,,500g-1kg,,True Value,,True-200-500g,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha
P1,4827.680203,-0.398886042,4775.365816,-0.383155835,4555.038179,-0.36253035,2585.97436,-0.28783681,2498.429269,-0.259758669
P2,8149.469467,-0.530568975,7277.250831,-0.367138451,4454.804399,-0.152847946,7385.089234,-0.500458436,7549.30423,-0.448449122
P3,5029.354651,-0.428875515,4736.222369,-0.342176487,3650.59059,-0.228496509,3857.078004,-0.380487861,3833.570255,-0.348800305
P4,4315.149184,-0.263294898,4294.777719,-0.256462996,4207.564998,-0.24750499,4275.751519,-0.343447456,4289.749072,-0.325013666
P5,2883.155908,-0.310826031,2792.734702,-0.264822515,2432.394286,-0.204502592,1794.130079,-0.169104656,1773.548438,-0.148498813
P6,11378.23446,-0.785003471,9897.719673,-0.583749633,5408.402292,-0.319865106,5537.774259,-0.458594135,5354.626904,-0.379155656
P7,4873.136149,-0.403104402,4873.485195,-0.403207808,4874.998749,-0.403343394,4554.143445,-0.421578905,4594.351169,-0.411964726
P8,17897.00203,-1.036857551,15049.73578,-0.786697274,7100.372705,-0.458686504,17059.18691,-0.991949939,11423.98541,-0.698094821
P9,2896.167625,-0.447467762,2642.341234,-0.315043899,1775.365121,-0.141409404,2244.849546,-0.302427657,2301.436728,-0.289091586
P10,6966.020398,-0.471128218,6507.200407,-0.372759531,4842.907627,-0.243778267,4901.40654,-0.279052622,5027.652884,-0.289850081
P11,3272.69239,-0.234015093,3117.778928,-0.164005208,2526.629653,-0.072208075,2424.407502,-0.191027841,2342.685601,-0.163621742
P12,7253.449724,-0.312658678,6974.607219,-0.256062515,5884.500384,-0.181853486,4823.042679,-0.282785833,4620.521159,-0.275118221
P13,4467.77566,-0.366321141,4136.086048,-0.254950238,2960.360945,-0.108920437,3293.634523,-0.312923594,3088.463614,-0.265547411
P14,11404.63838,-0.778826072,9396.312803,-0.499170237,4057.354581,-0.13248482,6124.786353,-0.567220389,5620.155934,-0.490185482
P15,2456.076539,0.475279411,3785.391747,-0.149258301,24694.75342,-0.968153683,2706.65729,-0.161455231,2691.508533,-0.148023733
P16,3428.364447,-0.307486972,3188.13363,-0.202602915,2326.759354,-0.065078681,4037.742229,-0.377652406,3058.055703,-0.242498069
P17,11767.74763,-1.030849127,8959.536512,-0.637222909,2747.489349,-0.121099246,9678.699304,-0.741498573,5260.029142,-0.442270154
P18,4264.293631,-0.404785435,3609.595299,-0.164142115,1752.356117,0.151389996,5784.271654,-0.578462887,4170.059048,-0.368830562
P19,11182.26797,-0.573919619,9355.904831,-0.31647013,4318.488883,0.021098272,19953.94427,-0.938516361,10667.06197,-0.559563696
P20,40637.49404,-0.782745289,33503.01545,-0.504023696,14507.34003,-0.138563258,26829.25311,-0.653675106,24765.25759,-0.589466187
P21,5873.927147,-0.377658325,5166.052672,-0.192261536,2960.552154,0.050831188,7477.007373,-0.417445623,7344.839242,-0.399912301
P22,33799.13537,-1.162956294,25162.78053,-0.736953932,7001.411423,-0.178378588,18421.51982,-0.742022419,12492.19196,-0.508848029
P23,14894.521,-0.522142027,14364.75153,-0.469855611,12277.46028,-0.401297535,39429.08889,-1.287496246,13458.2663,-0.704236884
P24,15523.68524,-0.036065888,18452.64691,-0.285602626,39038.50779,-0.612795808,17428.8262,-0.383663329,17018.3436,-0.322249649
P25,39747.53537,-1.061847752,34252.73837,-0.847046691,17970.55378,-0.565399013,27141.87078,-0.793187183,21253.68327,-0.720012913
P26,95342.84563,-0.616354812,74076.41872,-0.251981573,24801.66661,0.225785512,42860.09143,-0.265777733,42561.24841,-0.274285944
P27,9542.374529,-0.546478138,8551.812431,-0.388245867,5317.393371,-0.180771326,12974.28228,-0.617861193,12560.82654,-0.580321904
P28,3769.167383,0.147655364,4327.674444,-0.051834683,7878.081851,-0.313406524,6400.968105,-0.423222301,6611.303857,-0.404383718
P29,812075.0747,-1.809672123,422982.223,-0.867976586,25015.27891,0.366776913,119104.9778,-0.667018168,109275.6522,-0.572923949
P30,19585.75083,-0.183084789,21883.52628,-0.343241141,35398.59154,-0.553238543,32726.62373,-0.618616825,31840.58416,-0.662162334
P31,60053.16434,-0.685836363,45098.83866,-0.272388065,13030.61071,0.269726359,39456.7944,-0.332749865,39015.12166,-0.310873477
P32,43701.39355,-1.389928568,28951.51743,-0.795459323,4857.260591,-0.015989789,9902.00634,-0.43806261,10621.50438,-0.411184881
P33,42082.60905,-0.622936539,35593.79248,-0.3811636,17221.25993,-0.064150329,19057.63042,-0.40951376,20112.02405,-0.406212718
P34,27980.00322,0.4717108,47359.71366,-0.288101656,463790.81,-1.284369613,193604.1145,-0.716068842,167174.3255,-0.604823556
P35,7665.834942,-0.380516447,7817.008595,-0.408710479,8507.656997,-0.445678563,8218.012505,-0.480523895,8002.725718,-0.429606096
