0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1kg,,,,,,,,,,,,,,,,,,,,,,,,
0.939709405,0.764349689,1.422273205,1.135946288,0.968257982,1.564475068,0.931783058,1.168845994,1.111313011,1.510969942,1.262945123,0.829036205,0.954529054,1.180915963,1.099230991,0.991553117,1.235299679,1.246955585,0.913492724,1.018047666,0.991265392,1.098306884,1.044928177,1.309506516,0.938281211
2485.226424,3448.659384,1405.059578,1893.327299,2377.113943,1245.533775,2517.009751,1820.630558,1951.675974,1301.116854,1640.473211,3017.196834,2427.905774,1795.340477,1981.629302,2295.62629,1689.592269,1668.528457,2593.547581,2209.482553,2296.598677,1983.958214,2128.448665,1563.899559,2490.893822
200g,,,,,,,,,,,,,,,,,,,,,,,,
0.72899168,0.630837335,1.335397517,0.90272663,0.724740709,1.158001151,0.647505787,0.886635386,0.872705057,1.012103187,1.035507496,0.67071992,0.761707767,0.867867826,0.918158928,0.897266962,0.887116715,1.1153056,0.670432535,0.732633498,0.865550809,0.970897975,0.793361039,0.887816725,0.698340655
3741.081835,4892.777062,1524.334361,2640.815433,3779.612641,1843.969122,4649.696246,2714.764942,2782.211396,2228.242962,2156.16287,4348.796688,3468.919404,2806.422546,2573.582484,2665.4503,2712.492891,1941.975756,4352.283473,3708.691793,2818.169488,2367.589611,3240.810689,2709.195363,4037.88724
1kg-2,,,,,,,,,,,,,,,,,,,,,,,,
0.982187634,0.742408634,1.865788739,1.181815868,1.014125459,1.520975254,0.891369225,1.188092668,1.100065828,1.591670536,1.400176311,0.847034428,0.927907269,1.202509427,1.264613698,1.094399957,1.189741304,1.396873124,0.874600197,1.078225069,0.99753022,1.250270137,1.094714968,1.114414579,0.918749695
2327.706333,3624.46261,1003.997494,1793.483031,2221.825147,1290.348991,2692.583474,1780.633554,1979.530066,1219.063779,1433.591215,2915.700222,2532.848821,1751.806273,1637.599799,1993.865141,1777.28904,1437.956168,2772.839415,2035.955313,2275.61084,1662.634179,1993.062691,1944.132175,2571.076695
100g,,,,,,,,,,,,,,,,,,,,,,,,
0.60463242,0.523220629,1.074549966,0.812714388,0.584926143,0.890267263,0.507673237,0.673074325,0.727067269,0.688585565,0.875295935,0.550340148,0.62296593,0.599548003,0.706345387,0.792340885,0.62630473,0.78467552,0.538020664,0.60228671,0.767836006,0.755232954,0.664286591,0.686009418,0.606351531
5330.919923,7385.642233,2045.767583,3115.548582,5715.832059,2697.714533,7972.475059,4320.440119,3758.426928,4142.484861,2769.414623,6545.267401,5016.626746,5425.181129,3955.923036,3247.693562,4963.33606,3300.36131,6902.02379,5373.997324,3422.283411,3519.593895,4428.21282,4171.01796,5299.785577
500g,,,,,,,,,,,,,,,,,,,,,,,,
0.902724762,0.722959054,1.643184779,1.129126891,0.927145311,1.412202821,0.842435091,1.045237376,0.93206234,1.347159304,1.355401586,0.805645241,0.823512019,1.0589023,1.037830458,1.021418671,1.076500285,1.212130143,0.730370919,0.896499965,0.990287105,1.146804146,0.964476105,1.056771198,0.849720117
2640.823782,3795.998615,1171.888399,1909.128212,2535.986168,1417.920379,2940.981899,2127.55112,2515.876063,1507.014422,1495.109861,3160.164161,3049.781712,2088.626585,2149.262244,2198.983566,2040.548619,1733.082723,3728.748653,2668.947977,2299.911039,1868.701787,2390.892153,2094.60302,2901.13751
