Sensor,k,alpha
0,5352.84003915183,-0.4579877485939862
1,7413.052812439782,-0.41345649068583823
2,2049.5613810768573,-0.20678549191534085
3,3123.477174466441,-0.2836704337491336
4,5736.765206484032,-0.4080050608276675
5,2708.0068491060074,-0.4250054557713888
6,8013.15170697099,-0.5680034158610722
7,4336.435955866931,-0.4124589976895556
8,3768.2748674130917,-0.292062250964013
9,4166.522801526995,-0.6457788696311553
10,2777.3315698197384,-0.31860622041857933
11,6571.4179560490375,-0.4450326843453322
12,5033.5625796230315,-0.3761553720358985
13,5449.472187642874,-0.49861606409198134
14,3970.946127138686,-0.4230509297976343
15,3254.169260994777,-0.22232255082780264
16,4985.017139292145,-0.48647991169392896
17,3312.8197474711833,-0.42052149479045925
18,6931.558043726107,-0.47656982415492716
19,5394.88365769595,-0.4329389921115249
20,3430.722285378293,-0.2748768534150099
21,3532.2822116130897,-0.40163756381250515
22,4442.434327981749,-0.35786995526830784
23,4185.371510826158,-0.38342076329011415
24,5319.08525582999,-0.40570162195600523
